identifier,the_geom,name,location_dataset_identifer,varia,historical_evidence,location_link_type,date_range,change,type_identifier
197,"52.243687568124706, 21.00371542897539",Pałac przy późniejszym Pałacu Mniszchów,#Plan1768,"MSM: Kasia, nie ma mapki do kształtu",,przybliżona,1620-1718,,
198,"52.243687568124706, 21.00371542897539",Pałac Mniszchów,#Lindley,,,dokładnie,1718-2000,,
199,"52.243787, 21.003154",Założenie pałacowe Pałacu Mniszchów,#Plan1768,,,dokładnie,1718-1801,,
200,"52.243787, 21.003154",Założenie pałacowe Pałacu Mniszchów,#Lindley,"MSM: Kasia, Pałac, dziedziniec przed nim i ogród za nim",,dokładnie,1801-2000,,
201,"52.243587, 21.004602",Wschodnia oficyna Pałacu Mniszchów,#Plan1808,"MSM: Kasia, nie jestem pewien.",,dokładnie,1718-1895,,
202,"52.243420, 21.003890",Zachodnia oficyna Pałacu Mniszchów,#Lindley,,,dokładnie,1718-1904,,
203,"52.243420, 21.003890",Dom Bankowy Wilhelma Landaua; Bank Przemysłowy Polski,#Lindley,,,dokładnie,1904-1939,,
204,"52.243587, 21.004602",Kamienica rodziny Seydlów,#Lindley,,,dokładnie,1895-1939,,
205,"52.24736106172816, 21.009371431319618",Ulica Miodowa,#Plan1768,"MSM: Kasia, do skrzyżowania z Senatroską i Kozią",,dokładnie,1428-1888,,
206,"52.24736106172816, 21.009371431319618",Ulica Miodowa,#Lindley,"MSM: Kasia, do Krakowskiego Przedmieścia",,dokładnie,1888-2000,,
207,"52.24630840392397, 21.01186588572794",Pałac Biskupów Krakowskich,#Plan1808,,,dokładnie,1636-1828,,
208,"52.24630840392397, 21.01186588572794",Kamienica czynszowa w dawnym Pałacu Biskupów Krakowskich,#Lindley,,,dokładnie,1828-1910,,
209,"52.24630840392397, 21.01186588572794",Kamienica czynszowa w dawnym Pałacu Biskupów Krakowskich,#Fotoplan1935,"MSM: Kasia, budynek został okrojony od zachodu i o dpołudnia, ale nie wiem (jeszcze), jak. :(",,dokładnie,1910-1939,,
210,"52.243949888862566, 21.009245581713348",Skład żupy solnej,,"MSM: Kasia, nie wiem, skąd tu wziąć. :(",,przybliżona,1588-1655,,
211,"52.246290, 20.990846",Więzienie Pawiak,#Lindley,,,dokładnie,1835-1944,,
212,"52.245576, 20.989096","Więzienie dla kobiet ""Serbia""",#Lindley,"MSM: Kasia, parcela 2362 na Lindleyu.",,dokładnie,1835-1944,,
213,"52.241081, 20.986564",Szpital św. Zofii,#Fotoplan1935,,,dokładnie,1912-2000,,
214,"52.250687, 20.991682",Dzielnica północna,#Fotoplan1935,"MSM: Kasia, przybliżona, bo te granice są orientacyjne: na północny Stawki-Inflancka, na wschodnie Bonifraterska do Ogrodu Krasińskich, na południu Leszno, na zachodzie Okopowa. W razie pytań, pisz/dzwoń",,przybliżona,1809-1939,,
215,"52.24929916776908, 21.010227309240808",Ulica Żydowska,#Lindley,,,dokładnie,1300-1530,,
216,"52.249340220765504, 21.010479436899047",Synagoga średniowieczna,#GoogleMaps,"MSM: Kasia, synagoga znajdowała się ponoć na tej właśnie parceli, którą wskazałem.]",,dokładnie,1414-1522,,
219,"52.24922198803296, 21.01023267365907",Średniowieczna dzielnica żydowska,#Lindley,"MSM: hmm, ogólnie to tak: wzdłuż ulicy Żydowskiej (zob wyżej) szło, od synagogi (zob. wyżej) do fortyfikacji, i kilka parcel z północnej pierzei od fortyfikacji. W intaczu.",,przybliżona,1414-1498,,
220,"52.24927864125667, 20.992843912532482",Koszary Wołyńskie,#Lindley,"MSM: Kasia, mam tu problem, bo w sumie nie wiem, wydaje mi się, że budynek + ogród, ale nie na 100%",,dokładnie,1788-1864,,
221,"52.24927864125667, 20.992843912532482",Więzienie wojskowe,#Lindley,"MSM: Kasia, tylko budynek",,dokładnie,1864-1939,,
222,"52.251829, 20.981449",Fabryka Garbarska Temler i Szwede,#Lindley,,,dokładnie,1858-1948,,
223,"52.24557299724394, 21.00058080283055",Wał Zygmuntowski,,"MSM: Kasia, tu będzie jazda, czy wystarczy Ci takie coś: https://wawamaniak.files.wordpress.com/2020/04/szwankowski_wac582y-zygmuntowskie.jpg ?",,przybliżona,1624-1655,,
224,"52.244083, 20.995731",Szpital Ewangelicki,#Plan1808,,,przybliżona,1736-1821,,
225,"52.244083, 20.995731",Szpital Ewangelicki,#Lindley,,,dokładnie,1821-1943,,
226,"52.244083, 20.996274",Stary cmentarz ewangelicki,#Tirregaille,"MSM: Kasia, na Tirregaille'u (mniejszym) dobrze widać zarys, ale plan Le Rouge'a też może być!",,dokładnie,1625-1792,,
227,"52.243302364312214, 20.98151991490823","Fabryka mebli Zdzisława Szczerbińskiego, a później Leopolda Kamlera",#Fotoplan1935,,,dokładnie,1901-1939,,
228,"52.249433, 20.990055",Ulica Wołyńska,#Lindley,"MSM: Kasia, to fragment dzisiejszej Józefa Lewartowskiego od Zamenhoffa do Karmelickiej.",,dokładnie,1873-1943,,
229,"52.24464164312926, 20.988610924247233",Kościół św. Augustyna,#Lindley,,,dokładnie,1896-2000,,
230,"52.244037957191914, 20.998305480597843",Kościół ewangelicko-reformowany,#Lindley,,,dokładnie,1880-2000,,
231,"52.24431058071194, 20.99771003018938",Pałac Działyńskich,#Plan1768,"MSM: Kasia, w literaturze jest mowa o tym, że pałac najpierw był tym, co i dzisiaj z niego zostało, ale potem dołączono do niego dwa boczne pawilony. To ciekawe, bo nie widać ich ani na Bachu 1808, ani na Korpusie Kadetów, dopiero na Lindleyu widzę.",,dokładnie,1740-1770,,
232,"52.24431058071194, 20.99771003018938",Pałac Działyńskich,#Lindley,"MSM: jak wyżej, wyrysujesz z Lindleja? :)",,dokładnie,1770-1828,,
233,"52.24431058071194, 20.99771003018938",Dwór Leszczyńskich,#Plan1768,"MSM: nie wiem, jaki to miało kształt. :(",,dokładnie,1648-1740,,
234,"52.24431058071194, 20.99771003018938","Szkoła Wojewódzka Praktyczno-Pedagogiczna, potem Drugie Gimnazjum w Warszawie",#Lindley,,,dokładnie,1828-1944,,
235,"52.24399895219374, 20.99742571604072",Pierwszy kościół ewangelicko-reformowany,#Lindley,,,dokładnie,1777-1880,,
236,"52.243403, 20.997850",Dom Dysydentów (plebania ewnagelicko-augsburska),#Lindley,,,dokładnie,1780-1954,,
237,"52.244149, 20.995247",Wygon miejski,,"MSM: Kasia, nie wiem. :P Jakiś mały obszar można zaznaczyć...",69.0,prawdopodobna,1300-1600,,
238,"52.246166444012545, 21.002159013697",Kaplica św. Trójcy,,"MSM: Kasia, nie wiem. :(",8.0,dokładnie,1544-1615,,
239,"52.249506, 21.010290",Drukarnia Jana Rossowskiego i Jana Trelpińskiego,,,71.0,dokładnie,1624-1656,,
240,"52.249881, 21.009918",Fusznica (topnia wosku) miejska,,"MSM: Kasia, jbc to był to budynek przylegający do murów na działce hip. 137 ponoć.",8.0,przybliżona,1499-1579,,
241,"52.24894775255714, 21.01066987372249",Młyn kieratowy,,,70.0,przybliżona,1300-1545,,
242,"52.249893200933414, 21.011211679972668",Jatki,,"MSM: Kasia, to był placyk, na którym stały jatki",8.0,dokładnie,1495-1561,,
243,"52.249214187942464, 21.00983302452043",Ludwisarnia,,"MSM: Kasia, nie wiem, jaki to kształt, na Le Rouge'u i na Bachu nie ma żadnego kształtu, jest blok zabudowy tylko. :(",,przybliżona,1767-1800,,
244,"52.249214187942464, 21.00983302452043",Ludwisarnia Daniela Tyma,,"MSM: Kasia, jw. :(",,przybliżona,1634-1700,,
245,"52.249893200933414, 21.011211679972668",Działka miejska na rogu Wąskiego Dunaju i Nowomiejskiej,,"MSM: Kasia, w związku z budową na tej działce kamienicy, poszerzono ją do takiej szerokości, jak jest teraz, wcześniej była równa całej pozotsałej północnej pierzei wschodniej części ulicy.",,dokładnie,1300-1655,,
247,"52.249893200933414, 21.011211679972668","Kamienica ""Pod Syreną""",#Lindley,,,dokładnie,1655-2000,,
248,"52.249893200933414, 21.011211679972668",Postrzygalnia miejska,,,70.0,przybliżona,1300-1600,,
249,"52.249881, 21.009918",Dom po fusznicy (hip. 137),,,,dokładnie,1579-1743,,
250,"52.249881, 21.009918",Kamienica (hip. 137),#Lindley,,,dokładnie,1743-1944,,
251,"52.2497913906991, 21.010238038083532",Targ rybny na Szerokim Dunaju,,"MSM: Kasia, targ był gdzieś tu.",,przybliżona,1631-1800,,
252,"52.2497913906991, 21.010238038083532",Targ warzywny i kwiatowy na Szerokim Dunaju,#Lindley,czy #Lindley?,,przybliżona,1800-1925,,
253,"52.249850506346014, 21.009926901824425",Jatki na Szerokim Dunaju,,"MSM: Kasia, były, ale nie wiem, jak długo, an razie jedna data.",,przybliżona,1632-,,
254,"52.250751, 21.009774",Łaźnia (koło Bramy Nowomiejskiej),,,,przybliżona,1376-1656,,
255,"52.250331, 21.010960",Kawiarnia Henryka Duvala,#Lindley,,,dokładnie,1724-1770,,
256,"52.245156, 21.007802",Ulica Daniłowiczowska,#Lindley,,,dokładnie,1621-1944,,
257,"52.24544532400645, 21.007556254355944",Pałac Daniłowiczowski,#Lindley,,,dokładnie,1621-1742,,
258,"52.24544532400645, 21.007556254355944",Biblioteka Załuskich,#Lindley,,,dokładnie,1742-1760,zmiana,
259,"52.24544532400645, 21.007556254355944",Biblioteka Załuskich,#Lindley,"MSM: Kasia, gdzieś w latach 60. XVIII w. dobudowano oficyny przed Pałacem/Biblioteką. Ale nie wiem, gdzie to widać, bo na Korpusie Kadetów jakoś dziwnie to wygląda. Potem je rozebrano ok. 1900, żeby wytyczyć Hipoteczną, więc musiały być przed frontem pałacu...",,dokładnie,1760-1795,,
260,"52.24544532400645, 21.007556254355944",Magazyn mąki w budynku po Bibliotece Załuskich,#Lindley,,,dokładnie,1795-1807,,
261,"52.24544532400645, 21.007556254355944",Ruina Biblioteki Załuskich,#Lindley,,,dokładnie,1807-1821,,
262,"52.24544532400645, 21.007556254355944",Dom Pod Królami,#Lindley,,,dokładnie,1821-1900,zmiana,
263,"52.24544532400645, 21.007556254355944",Dom Pod Królami,#Lindley,,,dokładnie,1900-1944,,
264,"52.245700, 21.006892",Ulica Hipoteczna,#Lindley,"MSM: Kasia, ten Lindley 1936 dobrze oddaje kształt",,dokładnie,1900-1944,,
265,"52.245653, 21.008235",Stara Synagoga Niemiecka,,"MSM: Kasia, w sumie nie wiem, z jakie materiały Ci podać, bo na działce hip. 616 jest kilka budynków, a nie wiem dokładnie, czy to ten, którego współrzędne Ci wskazałem. :(",,dokładnie,1800-1843,,
266,"52.245708, 21.008653",Dom modlitwy na Daniłowiczowskiej,,"MSM: Kasia, na działce z Lindleya hip 615a, ona została podzielona jakoś w 1879 r.",,przybliżona,1843-1849,,
267,"52.245672, 21.008614",Synagoga Niemiecka,#Lindley,"MSM: Kasia, budynek we wschodniej części hip. 615a",,dokładnie,1849-1878,,
268,"52.245672, 21.008614",Teatr Mały,#Lindley,,,dokładnie,1880-1901,,
269,"52.245653, 21.008235","Fabryka mydła ""Fryderyk Puls""",#Lindley,,,dokładnie,1852-1939,,
270,"52.245104, 21.007735",Areszt Centralny,#Fotoplan1935,,,dokładnie,1909-1944,,
271,"52.246521, 21.005910",Teatr Nowości,#Fotoplan1935,,,dokładnie,1901-1926,,
272,"52.246521, 21.005910",Kino Miejskie,#Fotoplan1935,,,dokładnie,1926-1939,,
273,"52.245501, 21.006855",Gmach Towarzystwa Akcyjnego „Fabryki Płodów Chemicznych Ludwik Spiess i Syn”,#Fotoplan1935,,,dokładnie,1913-1944,,
274,"52.245972, 21.007646",IV Gimnazjum Żeńskie,#Lindley,,,dokładnie,1902-1918,,
275,"52.24083357015348, 20.99204571223129",Sąd Grodzki na Lesznie,#GoogleMaps,,,dokładnie,1939-2000,,
276,"52.246426, 21.007553",Hipoteka,#Lindley,,,dokładnie,1913-2000,,
277,"52.23812447581298, 21.00752941901096","Karczma ""Otwock""",,,,przybliżona,1737-przed 1790,,
278,"52.244555, 21.005898",Ulica Bielańska,#Lindley,,,dokładnie,1666-2000,,
279,"52.227434184855305, 20.99832642285289","Kamienica Izraela Białera, nr hip. 1553A",#Lindley,na osi nieistniejącej ul. Sosnowej,,przybliżona,1910-1951,,
280,"52.245972, 21.007646",Gimnazjum im. Stefana Batorego,#Lindley,,,dokładnie,1918-1924,,
281,"52.245972, 21.007646",Państwowe Gimnazjum Męskie im. T. Czackiego,,,,dokładnie,1924-1939,,
282,"52.2485033916611, 21.012233483020957",zespół szpitalny Św. Ducha wewnątrz murów,,,,dokładnie,1442-1824,,
283,"52.24854483779861, 21.012334779956635",dom szpitalny Św. Ducha wewnątrz murów,,,,przybliżona,1442- ok. 1565,,
284,"52.24856082481769, 21.01227051530486",pierwszy dom szpitalny Św. Ducha wewnątrz murów,,,,przybliżona,1565- początek XVII w.,,
285,"52.24851786136079, 21.01234732793584",drugi dom szpitalny Św. Ducha wewnątrz murów,,,,przybliżona,1565- początek XVII w.,,
286,"52.248525989585545, 21.01230655086013",Kamienica Kapitulna,,,,przybliżona,początek XVII w.-1944,,
287,"52.24832834659712, 21.011892005122732",budynek szpitalny z kaplicą,,,,przybliżona,1442-1944,,
288,"52.24832834659712, 21.011892005122732",klasztor żeński,,,,przybliżona,1454,,
289,"52.24845100464388, 21.01118126817733","posesja ul. Piekarska 11, hip. 128",,,,dokładnie,poł. XVIII w.-1824,,
290,"52.245690437934456, 21.021197795380136",Bednarska 3/5 róg Dobra 82/84/86,,,,dokładnie,,,
291,"52.245094, 21.006718",Pałac biskupa Teodora Potockiego,#Plan1768,,,dokładnie,1721-1765,,
292,"52.245094, 21.006718",Mennica Królewska: biura i mieszkania pracowników,#Plan1768,,,dokładnie,1765-1796,,
293,"52.245337, 21.005873",Mennica Królewska,#Plan1768,,,dokładnie,1766-1796,,
294,"52.245337, 21.005873",Maneż przy pałacu biskupa Teodora Potockiego,#Plan1768,,,dokładnie,1750-1766,,
295,"52.245337, 21.005873",Mennica,#KorpusKadetow,,,dokładnie,1810-1821,,
296,"52.245028, 21.005122",Nowy budynek mennicy,#KorpusKadetow,,,dokładnie,1821-1868,,
297,"52.245028, 21.005122",Warsztaty wojskowe po dawnej mennicy,#Lindley,,,dokładnie,1868-1907,,
298,"52.244951, 21.004287",Budynek mieszkalny dla pracowników mennicy,#Lindley,,,dokładnie,1821-1944,,
299,"52.245094, 21.006718",Siedziba Naczelnika Warszawskiego Okręgu Żandarmów,#Lindley,,,dokładnie,1868-1907,,
300,"52.245043, 21.005794",Bank Państwa,#Lindley,,,dokładnie,1911-1918,,
301,"52.245043, 21.005794",Polska Krajowa Kasa Pożyczkowa,#Lindley,,,dokładnie,1918-1924,,
302,"52.245043, 21.005794",Bank Polski,#Fotoplan1935,,,dokładnie,1926-1939,,
303,"52.24249617968791, 21.010922079403105",Klasztor karmelitanek bosych,,"MSM: Kasia, nie wiem, jaki to mogło mieć kształt. :(",,przybliżona,1648-1655,,
304,"52.24249617968791, 21.010922079403105",Kościół karmelitanek bosych,,"MSM: Kasia, nie wiem, jaki kształt. :(",,przybliżona,1648-1655,,
305,"52.24249617968791, 21.010922079403105",Pałac biskupa Stanisława Wierzbowskiego,#Plan1768,,,dokładnie,1666-1797,,
306,"52.24249617968791, 21.010922079403105",Hotel Pruski,#Plan1808,,,dokładnie,1797-1803,,
307,"52.24249617968791, 21.010922079403105",Hotel Angielski,#Lindley,,,dokładnie,1803-1939,,
308,"52.24297408784225, 21.009629183437898",Droga do Św. Trójcy,#Plan1768,"MSM: Kasia, współczesne WIerzbowa+Bielańska",,dokładnie,1544-1666,,
309,"52.24297408784225, 21.009629183437898",Ulica Wierzbowa,#Plan1768,"MSM: Kasia, jak Wierzbowa",,dokładnie,1666-2000,,
310,"52.244570, 21.001443",Centrala Polskiej Akcyjnej Spółki Telefonicznej na Tłomackiem,#Fotoplan1935,,,dokładnie,1929-1944,,
311,"52.244269, 21.002774",Dworek modrzewiowy dla mistrza kapeli króla Jana III Sobieskiego,#KorpusKadetow,,,dokładnie,1682-1878,,
312,"52.244727, 21.003597",Kamienica Lolipopa,#Fotoplan1935,,,dokładnie,1830-2000,,
313,"52.244727, 21.003597",Pracownia złotnicza Karola Lilpopa,#KorpusKadetow,"MSM: Kasia, nie mam pojęcia. Może to na hip. 600 (tej AB na Lindleyu) takie małe",68.0,przybliżona,1825-1830,,
314,"52.244175, 21.006634",Hotel Lipski,#Lindley,,66.0,dokładnie,1820-1930,,
315,"52.244175, 21.006634",Kamienica po Hotelu Lipskim,#Lindley,,66.0,dokładnie,1930-1944,,
316,"52.239208010077455, 21.023486833238046",Tor Kolarski Oboźna-Dynasy,#Fotoplan1935,,,przybliżona,1890-1937,,
317,"52.2386167082475, 21.022338847789232",Warszawskie Towarzystwo Cyklistów,#Fotoplan1935,,,przybliżona,1892-1937,,
318,"52.2384695698465, 21.021093203979397","Targ ""Sewerynów""",#Fotoplan1936,,,przybliżona,1846-1937,,
319,"52.245065988412954, 21.014190259110414",Figura Matki Boskiej Pasawskiej,,,,dokładnie,1866-2000,,
320,"52.24373161801625, 21.01484471810905",Pomnik Mickiewicza,,,,dokładnie,"1898-1944, 1950-2000",,
